ID,stress_score
TEST_0000,0.4259401084272128
TEST_0001,0.7181779417695401
TEST_0002,0.2610671321976895
TEST_0003,0.4208418672616767
TEST_0004,0.573340413818442
TEST_0005,0.4991046096382554
TEST_0006,0.6660831090248012
TEST_0007,0.533618584381383
TEST_0008,0.5185578892346884
TEST_0009,0.7568101638314287
TEST_0010,0.6768673661566965
TEST_0011,0.4703570879295409
TEST_0012,0.5621875575313118
TEST_0013,0.6561962686172969
TEST_0014,0.6105640823612211
TEST_0015,0.5499817056037912
TEST_0016,0.503923260329312
TEST_0017,0.26052716821233357
TEST_0018,0.5063511027567527
TEST_0019,0.6724332602370646
TEST_0020,0.3859859167186797
TEST_0021,0.4633810486754612
TEST_0022,0.5133155955948439
TEST_0023,0.6767506114745019
TEST_0024,0.48449184829731856
TEST_0025,0.5492567096493597
TEST_0026,0.6866239299600102
TEST_0027,0.4697943347063598
TEST_0028,0.5350675497865673
TEST_0029,0.6023250367680941
TEST_0030,0.5117882255428969
TEST_0031,0.33055062354334414
TEST_0032,0.3325103037509796
TEST_0033,0.5708517939030966
TEST_0034,0.5504671255194667
TEST_0035,0.7685526371583958
TEST_0036,0.5770849661440055
TEST_0037,0.38396125397176584
TEST_0038,0.5062792995963307
TEST_0039,0.42315647853027744
TEST_0040,0.442791695015829
TEST_0041,0.4682433045220608
TEST_0042,0.6380263852392725
TEST_0043,0.49878155547218433
TEST_0044,0.4393025755446176
TEST_0045,0.5862060394912089
TEST_0046,0.4287979813092629
TEST_0047,0.5067123926317068
TEST_0048,0.29967560545359145
TEST_0049,0.6232529946692754
TEST_0050,0.544835334566699
TEST_0051,0.6998863167001275
TEST_0052,0.5762704328931615
TEST_0053,0.5503849124180584
TEST_0054,0.38373607568318874
TEST_0055,0.3919665201933171
TEST_0056,0.4987855460540698
TEST_0057,0.5763576869274547
TEST_0058,0.4141782572762493
TEST_0059,0.5629883397098926
TEST_0060,0.6494242882732542
TEST_0061,0.4340273905619882
TEST_0062,0.5526725248813762
TEST_0063,0.7449436832333338
TEST_0064,0.4873492880723623
